# curie_map:
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   mit-ai-risk-repository: https://airisk.mit.edu/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2025-07-07'
# mapping_set_description: Mapping from IBM AI Risk Atlas to MIT AI risk repository
# mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/data/mappings/mit-ai-risk-repository_ibm-risk-atlas.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
ibm-risk-atlas:atlas-dangerous-use	Dangerous use	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-acquisition	Data acquisition restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-acquisition	Data acquisition restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-acquisition	Data acquisition restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-acquisition	Data acquisition restrictions	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.3	Lack of capability or robustness	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-bias	Data bias	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-bias	Data bias	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-bias	Data bias	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-bias	Data bias	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-1.1	Unfair discrimination and misrepresentation	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-contamination	Data contamination	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-contamination	Data contamination	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-contamination	Data contamination	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-contamination	Data contamination	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.3	Lack of capability or robustness	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-curation	Improper data curation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-curation	Improper data curation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-curation	Improper data curation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-curation	Improper data curation	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.3	Lack of capability or robustness	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-poisoning	Data poisoning	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-poisoning	Data poisoning	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-intentional	Intentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-poisoning	Data poisoning	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-poisoning	Data poisoning	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.2	AI system security vulnerabilities and attacks	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-provenance	Uncertain data provenance	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-provenance	Uncertain data provenance	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-provenance	Uncertain data provenance	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-provenance	Uncertain data provenance	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-6.5	Governance failure	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transfer	Data transfer restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transfer	Data transfer restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transfer	Data transfer restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transfer	Data transfer restrictions	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.3	Lack of capability or robustness	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transparency	Lack of training data transparency	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transparency	Lack of training data transparency	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transparency	Lack of training data transparency	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-transparency	Lack of training data transparency	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-6.5	Governance failure	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-usage	Data usage restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-usage	Data usage restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-usage	Data usage restrictions	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-data-usage	Data usage restrictions	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-7.3	Lack of capability or robustness	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-decision-bias	Decision bias	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-decision-bias	Decision bias	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-decision-bias	Decision bias	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-decision-bias	Decision bias	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-1.1	Unfair discrimination and misrepresentation	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-evasion-attack	Evasion attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-evasion-attack	Evasion attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-intentional	Intentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-evasion-attack	Evasion attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-evasion-attack	Evasion attack	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.2	AI system security vulnerabilities and attacks	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-exposing-personal-information	Exposing personal information	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-exposing-personal-information	Exposing personal information	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-exposing-personal-information	Exposing personal information	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-exposing-personal-information	Exposing personal information	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.1	Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-extraction-attack	Extraction attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-extraction-attack	Extraction attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-intentional	Intentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-extraction-attack	Extraction attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-extraction-attack	Extraction attack	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.2	AI system security vulnerabilities and attacks	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-generated-content-ownership	Generated content ownership and IP	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-generated-content-ownership	Generated content ownership and IP	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-generated-content-ownership	Generated content ownership and IP	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-generated-content-ownership	Generated content ownership and IP	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-6.3	Economic and cultural devaluation of human effort	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-hallucination	Hallucination	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-hallucination	Hallucination	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-hallucination	Hallucination	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-hallucination	Hallucination	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-3.1	False or misleading information	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-code-generation	Harmful code generation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-code-generation	Harmful code generation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-code-generation	Harmful code generation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-code-generation	Harmful code generation	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.2	AI system security vulnerabilities and attacks	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-output	Harmful output	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-output	Harmful output	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-output	Harmful output	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-harmful-output	Harmful output	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-1.2	Exposure to toxic content	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-human-exploitation	Human exploitation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-human-exploitation	Human exploitation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-human-exploitation	Human exploitation	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-human-exploitation	Human exploitation	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-6.2	Increased inequality and decline in employment quality	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-affected-communities	Impact on affected communities	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-affected-communities	Impact on affected communities	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-affected-communities	Impact on affected communities	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-affected-communities	Impact on affected communities	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-1.3	Unequal performance across groups	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-cultural-diversity	Impact on cultural diversity	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-cultural-diversity	Impact on cultural diversity	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-impact-on-cultural-diversity	Impact on cultural diversity	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
