ibm-risk-atlas:atlas-lack-testing-diversity	lack testing diversity	noMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-privacy-rights	data privacy rights alignment	noMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-prompt-leaking	prompt leaking	skos:broadMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-ip-information-in-prompt	ip information in prompt	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-hallucination	hallucination	skos:relatedMatch	owasp-llm-2.0:llm092025-misinformation	LLM06:2025 Excessive Agency	semapv:ManualMappingCuration	ingevejs@ie.ibm.com	0.95
ibm-risk-atlas:atlas-legal-accountability	legal accountability	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95	Legal aspects are briefly mentioned in the OWASp supply chain risk
ibm-risk-atlas:atlas-data-transparency	lack training data transparency	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-transparency	lack training data transparency	noMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-model-usage-rights	model usage rights restrictions	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-non-disclosure	non disclosure	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-prompt-injection	prompt injection attack	skos:exactMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-incomplete-advice	incomplete advice	skos:broadMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-data-usage-rights	data usage restrictions	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-lack-system-transparency	lack system transparency	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibm-risk-atlas:atlas-impact-cultural-diversity	impact cultural diversity	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-plagiarism	impact education plagiarism	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Social implications of AI are not specifically addressed by OWASP
ibm-risk-atlas:atlas-improper-usage	improper usage	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Defining the intended use of an AI system is not addressed by OWASP
ibm-risk-atlas:atlas-personal-information-in-data	personal information in data	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-jailbreaking	jailbreaking	skos:broadMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-extraction-attack	extraction attack	noMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-job-loss	impact jobs	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Social implications of AI are not specifically addressed by OWASP
ibm-risk-atlas:atlas-data-acquisition-restrictions	data acquisition restrictions	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-prompt-priming	prompt priming	skos:broadMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-reidentification	reidentification	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-attribute-inference-attack	attribute inference attack	noMatch	owasp-llm-2.0:llm01-prompt-injection	LLM01:2025 Prompt Injection	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-attribute-inference-attack	attribute inference attack	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-poor-model-accuracy	poor model accuracy	noMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-transfer	data transfer restrictions	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-generated-content-ownership	generated content ownership ip	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-output-bias	output bias	noMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-dangerous-use	dangerous use	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Defining the intended use of an AI system is not addressed by OWASP
ibm-risk-atlas:atlas-unexplainable-output	unexplainable output	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibm-risk-atlas:atlas-human-exploitation	human exploitation	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Social implications of AI are not specifically addressed by OWASP
ibm-risk-atlas:atlas-data-curation	improper data curation	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-revealing-confidential-information	revealing confidential information	skos:broadMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-spreading-disinformation	spreading disinformation	skos:broadMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-unrepresentative-risk-testing	unrepresentative risk testing	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-bias	data bias	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-provenance	uncertain data provenance	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-data-usage-rights	data usage rights restrictions	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-harmful-code-generation	harmful code generation	skos:relatedMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-contamination	data contamination	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-incomplete-usage-definition	incomplete usage definition	noMatch	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Defining the intended use of an AI system is not addressed by OWASP
ibm-risk-atlas:atlas-lack-data-transparency	lack data transparency	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-copyright-infringement	copyright infringement	noMatch	owasp-llm-2.0:llm082025-vector-and-embedding-weaknesses	LLM08:2025 Vector and Embedding Weaknesses	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-copyright-infringement	copyright infringement	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-impact-affected-communities	impact affected communities	noMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-spreading-toxicity	spreading toxicity	noMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-improper-retraining	improper retraining	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-inaccessible-training-data	inaccessible training data	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibm-risk-atlas:atlas-bypassing-learning	impact education bypassing learning	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Social implications of AI are not specifically addressed by OWASP
ibm-risk-atlas:atlas-untraceable-attribution	untraceable attribution	skos:broadMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-evasion-attack	evasion attack	noMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-impact-environment	impact environment	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Social implications of AI are not specifically addressed by OWASP
ibm-risk-atlas:atlas-incorrect-risk-testing	incorrect risk testing	noMatch	owasp-llm-2.0:llm032025-supply-chain	LLM03:2025 Supply Chain	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-over-under-reliance	over under reliance	noMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-over-under-reliance	over under reliance	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-over-under-reliance	over under reliance	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	LLM08:2025 Vector and Embedding Weaknesses	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-over-under-reliance	over under reliance	noMatch	owasp-llm-2.0:llm082025-vector-and-embedding-weaknesses	LLM08:2025 Vector and Embedding Weaknesses	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-membership-inference-attack	membership inference attack	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-confidential-data-in-prompt	confidential data in prompt	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
